Check,Away,Home,Check,,network,time,mediaindicator,,,
0,Rice,Tulane,0,,,10/7/2006 14:00,W,,,
0,Buffalo,Ohio,0,,,10/7/2006 14:00,W,,,
0,Western Michigan,Ball St.,0,,,10/7/2006 14:00,W,,,
0,Navy,Air Force,0,,CSTV,10/7/2006 14:00,T,,,
0,San Diego St.,BYU,0,,The mtn.,10/7/2006 14:00,T,,,
0,West Virginia,Mississippi St.,0,,CSS PPV,10/7/2006 14:30,T,,,
0,Stanford,Notre Dame,0,,NBC HD,10/7/2006 14:30,T,,,
0,Bowling Green,Ohio St.,0,,ESPN Plus,10/7/2006 15:30,T,,,
0,Akron,Cincinnati,0,,ESPN360,10/7/2006 15:30,W,,,
0,Maryland,Georgia Tech,0,,ESPNU,10/7/2006 15:30,T,,,
0,LSU,Florida,0,,CBS HD,10/7/2006 15:30,T,,,
0,Michigan St.,Michigan,0,,ESPN HD,10/7/2006 16:30,T,,,
0,New Mexico St.,Idaho,0,,AggieVision,10/7/2006 17:00,T,,,
0,UNLV,Colorado St.,0,,The mtn.,10/7/2006 17:30,T,,,
0,Virginia,East Carolina,0,,CSTV,10/7/2006 18:00,T,,,
0,UL-Lafayette,Houston,0,,,10/7/2006 19:00,W,,,
0,Connecticut,USF,0,,ESPN Plus,10/7/2006 19:00,T,,,
0,Central Michigan,Toledo,0,,ESPNU,10/7/2006 19:00,T,,,
0,South Carolina,Kentucky,0,,ESPN2 HD,10/7/2006 19:00,T,,,
0,Duke,Alabama,0,,Crimson Tide PPV,10/7/2006 19:00,T,,,
0,FIU,North Texas,0,,CSS,10/7/2006 19:00,T,,,
0,UL-Monroe,Arkansas St.,0,,ESPN Plus,10/7/2006 19:00,T,,,
0,Tennessee,Georgia,0,,ESPN HD,10/7/2006 19:45,T,,,
0,Wyoming,New Mexico,0,,,10/7/2006 20:00,W,,,
0,Louisiana Tech,Boise St.,0,,KTVB,10/7/2006 20:00,T,,,
0,Fresno St.,Utah St.,0,,KFREKJZZ,10/7/2006 20:00,T,,,
0,Nebraska,Iowa St.,0,,ABC HD,10/7/2006 20:00,T,,,
0,SMU,UTEP,0,,,10/7/2006 21:00,W,,,
0,Nevada,Hawai'i,0,,Oceanic PPVKREN,10/7/2006 23:59,T,,,
0,Northern Illinois,Miami (OH),0,,ESPN HD,10/8/2006 20:00,T,,,
0,Virginia Tech,Boston College,0,,ESPN HD,10/12/2006 19:30,T,,,
0,Colorado St.,Air Force,0,,The mtn.,10/12/2006 20:00,T,,,
0,Pittsburgh,UCF,0,,ESPN HD,10/13/2006 20:00,T,,,
0,Minnesota,Wisconsin,0,,ESPN HD,10/14/2006 12:00,T,,,
0,Iowa,Indiana,0,,ESPN2 HD,10/14/2006 12:00,T,,,
0,Purdue,Northwestern,0,,ESPN Plus,10/14/2006 12:00,T,,,
0,USF,North Carolina,0,,ESPNU,10/14/2006 12:00,T,,,
0,Wake Forest,NC State,0,,Raycom/LF Sports,10/14/2006 12:00,T,,,
0,Syracuse,West Virginia,0,,ESPN Plus,10/14/2006 12:00,T,,,
0,Iowa St.,Oklahoma,0,,FSN HD,10/14/2006 12:30,T,,,
0,Vanderbilt,Georgia,0,,Lincoln Financial Sports,10/14/2006 12:30,T,,,
0,Rutgers,Navy,0,,CSTV,10/14/2006 13:30,T,,,
0,Northern Illinois,Western Michigan,0,,MAC TV,10/14/2006 14:00,T,,,
0,Utah,Wyoming,0,,The mtn.,10/14/2006 15:00,T,,,
0,Tulsa,East Carolina,0,,,10/14/2006 15:00,W,,,
0,Ohio St.,Michigan St.,0,,ABC HD,10/14/2006 15:30,T,,,
0,Missouri,Texas A&M,0,,ABC,10/14/2006 15:30,T,,,
0,Cincinnati,Louisville,0,,ESPNU,10/14/2006 15:30,T,,,
0,Maryland,Virginia,0,,ESPN360,10/14/2006 15:30,W,,,
0,Ole Miss,Alabama,0,,CBS HD,10/14/2006 15:30,T,,,
0,Toledo,Kent St.,0,,,10/14/2006 16:00,W,,,
0,UL-Monroe,Troy,0,,ESPN Plus,10/14/2006 16:00,T,,,
0,Hawai'i,Fresno St.,0,,KFREKFVE,10/14/2006 17:00,T,,,
0,Utah St.,San Jose St.,0,,,10/14/2006 18:00,W,,,
0,Idaho,Louisiana Tech,0,,,10/14/2006 19:00,W,,,
0,FIU,Miami (FL),0,,CSS Replay Feed,10/14/2006 19:00,T,,,
0,Baylor,Texas,0,,TBS,10/14/2006 19:00,T,,,
0,Nebraska,Kansas St.,0,,FSN PPV,10/14/2006 19:00,T,,,
0,Ohio,Illinois,0,,ESPN360,10/14/2006 19:00,W,,,
0,Houston,Southern Miss,0,,,10/14/2006 19:00,W,,,
0,UAB,Rice,0,,CSTV,10/14/2006 19:30,T,,,
0,Florida,Auburn,0,,ESPN HD,10/14/2006 19:45,T,,,
0,Kentucky,LSU,0,,,10/14/2006 20:00,W,,,
0,New Mexico,UNLV,0,,The mtn.,10/14/2006 20:00,T,,,
0,Michigan,Penn St.,0,,ABC HD,10/14/2006 20:00,T,,,
0,Tulane,UTEP,0,,,10/14/2006 21:00,W,,,
0,Boise St.,New Mexico St.,0,,ESPN HD,10/15/2006 20:00,T,,,
0,UL-Lafayette,FAU,0,,ESPN2 HD,10/18/2006 19:30,T,,,
0,Bowling Green,Central Michigan,0,,ESPNU,10/19/2006 19:30,T,,,
0,North Carolina,Virginia,0,,ESPN HD,10/19/2006 19:30,T,,,
0,Utah,New Mexico,0,,The mtn.,10/19/2006 21:00,T,,,
0,West Virginia,Connecticut,0,,ESPN HD,10/20/2006 20:00,T,,,
0,Louisville,Syracuse,0,,ESPN Plus,10/21/2006 12:00,T,,,
0,Texas,Nebraska,0,,ABC HD,10/21/2006 12:00,T,,,
0,NC State,Maryland,0,,Raycom/LF Sports,10/21/2006 12:00,T,,,
0,Wisconsin,Purdue,0,,ESPN HD,10/21/2006 12:00,T,,,
0,Illinois,Penn St.,0,,ESPN2 HD,10/21/2006 12:00,T,,,
0,Indiana,Ohio St.,0,,ESPNU,10/21/2006 12:00,T,,,
0,Michigan St.,Northwestern,0,,ESPN Plus,10/21/2006 12:00,T,,,
0,Ole Miss,Arkansas,0,,Lincoln Financial Sports,10/21/2006 12:30,T,,,
0,Miami (FL),Duke,0,,ESPN360,10/21/2006 13:00,W,,,
0,Western Michigan,Ball St.,0,,Comcast Local,10/21/2006 14:00,T,,,
0,Buffalo,Ohio,0,,,10/21/2006 14:00,W,,,
0,Western Michigan,Ball St.,0,,,10/21/2006 14:00,W,,,
0,UCLA,Notre Dame,0,,NBC HD,10/21/2006 14:30,T,,,
0,SMU,East Carolina,0,,,10/21/2006 15:00,W,,,
0,Toledo,Eastern Michigan,0,,MAC TV,10/21/2006 15:00,T,,,
0,Temple,Northern Illinois,0,,CSN Chicago,10/21/2006 15:00,T,,,
0,UNLV,BYU,0,,The mtn.,10/21/2006 15:00,T,,,
0,South Carolina,Vanderbilt,0,,ESPN Plus PPV,10/21/2006 15:00,T,,,
0,Alabama,Tennessee,0,,CBS HD,10/21/2006 15:30,T,,,
0,TCU,Army,0,,ESPNU,10/21/2006 15:30,T,,,
0,Iowa,Michigan,0,,ABC HD,10/21/2006 15:30,T,,,
0,North Dakota St.,Minnesota,0,,ESPN Plus,10/21/2006 15:30,T,,,
0,Boston College,Florida St.,0,,ABC,10/21/2006 15:30,T,,,
0,Colorado St.,Wyoming,0,,CSTV,10/21/2006 16:00,T,,,
0,Boise St.,Idaho,0,,KTVB,10/21/2006 17:00,T,,,
0,Rutgers,Pittsburgh,0,,ESPN2 HD,10/21/2006 17:45,T,,,
0,Miami (OH),Akron,0,,ESPN360,10/21/2006 18:00,W,,,
