Off Site,Away,Home,City,State,network,time,mediaindicator
,Troy,FAU,,,ESPN2 HD,10/7/2008 20:00,T
,Clemson,Wake Forest,,,ESPN HD,10/9/2008 19:30,T
,UAB,Houston,,,CBS College Sports,10/9/2008 20:00,T
,Louisville,Memphis,,,ESPN HD,10/10/2008 20:00,T
,Gardner-Webb,Georgia Tech,,,,10/11/2008 0:00,N
,Kansas St.,Texas A&M,,,,10/11/2008 0:00,N
,Middle Tennessee,FIU,,,,10/11/2008 0:00,N
,East Carolina,Virginia,,,Raycom Sports HD,10/11/2008 12:00,T
,Minnesota,Illinois,,,ESPN HD,10/11/2008 12:00,T
,Iowa,Indiana,,,Big Ten Network HD,10/11/2008 12:00,T
,Toledo,Michigan,,,Big Ten Network HD,10/11/2008 12:00,T
,Syracuse,West Virginia,,,ESPNU HD,10/11/2008 12:00,T
,Rutgers,Cincinnati,,,Big East Network,10/11/2008 12:00,T
,Colorado,Kansas,,,ESPN2 HD,10/11/2008 12:30,T
,South Carolina,Kentucky,,,Raycom Sports HD,10/11/2008 12:30,T
,Eastern Michigan,Army,,,ESPN Classic,10/11/2008 13:00,T
,Utah,Wyoming,,,The mtn.,10/11/2008 14:00,T
,Ohio,Kent St.,,,FOX Sports Ohio,10/11/2008 14:30,T
,Vanderbilt,Mississippi St.,,,CSS PPV,10/11/2008 14:30,T
,Nebraska,Texas Tech,,,FSN HD,10/11/2008 15:00,T
,Purdue,Ohio St.,,,ABC HD,10/11/2008 15:30,T
,Michigan St.,Northwestern,,,ESPN2 HD,10/11/2008 15:30,T
,Notre Dame,North Carolina,,,ABC HD,10/11/2008 15:30,T
,Tennessee,Georgia,,,CBS HD,10/11/2008 15:30,T
,Western Michigan,Buffalo,,,Time Warner-NY,10/11/2008 15:30,T
,TCU,Colorado St.,,,CBS College Sports,10/11/2008 15:30,T
,UCF,Miami (FL),,,ESPNU HD,10/11/2008 15:45,T
,New Mexico St.,Nevada,,,AggieVision,10/11/2008 16:00,T
,Miami (OH),Northern Illinois,,,CSN Chicago,10/11/2008 16:00,T
