game,network,time,mediaindicator,
Nevada at Hawai'i,NBC Sports Network,09/22/2012 22:30,T,
Stanford at Washington,ESPN HD,09/27/2012 21:00,T,
Hawai'i at BYU,ESPN HD,09/28/2012 20:00,T,
Ball St. at Kent St.,ESPN Plus,09/29/2012 12:00,T,
Missouri at UCF,FSN HD,09/29/2012 12:00,T,
Buffalo at Connecticut,Big East Network HD,09/29/2012 12:00,T,
Middle Tennessee at Georgia Tech,ACC RSNs,09/29/2012 12:00,T,
NC State at Miami (FL),ESPNU HD,09/29/2012 12:00,T,
Stony Brook at Army,CBS Sports Network HD,09/29/2012 12:00,T,
Penn St. at Illinois,ESPN HD<br>ESPN 3D,09/29/2012 12:00,T,
Minnesota at Iowa,ESPN2 HD,09/29/2012 12:00,T,
Indiana at Northwestern,BTN HD,09/29/2012 12:00,T,
Arkansas at Texas A&M,SEC Network HD,09/29/2012 12:00,T,
Baylor at West Virginia,F/X HD,09/29/2012 12:00,T,
Duke at Wake Forest,ACC Network HD,09/29/2012 12:30,T,
Colorado St. at Air Force,Altitude,09/29/2012 14:00,T,
Miami (OH) at Akron,,09/29/2012 14:00,W,
Nevada at Texas St.,Longhorn Network HD,09/29/2012 14:00,T,
Tulsa at UAB,,09/29/2012 15:00,W,
Marshall at Purdue,BTN HD,09/29/2012 15:15,T,
Ohio St. at Michigan St.,ABC HD,09/29/2012 15:30,T,
San Jose St. at Navy,CBS Sports Network HD,09/29/2012 15:30,T,
Tennessee at Georgia,CBS HD,09/29/2012 15:30,T,
Clemson at Boston College,ESPN2 HD,09/29/2012 15:30,T,
UL-Monroe at Tulane,CST,09/29/2012 15:30,T,
Rice vs. Houston<br>(at Reliant Stadium),FSN HD,09/29/2012 15:30,T,
Central Michigan at Northern Illinois,,09/29/2012 15:30,W,
Ohio at Massachusetts,,09/29/2012 15:30,W,
Virginia Tech vs. Cincinnati<br>(at Landover, MD),ESPNU HD,09/29/2012 15:30,T
Rhode Island at Bowling Green,BCSN,09/29/2012 15:30,T,
Idaho at North Carolina,ACC RSNs HD,09/29/2012 15:30,T,
Louisiana Tech at Virginia,ESPN3,09/29/2012 15:30,W,
Troy at South Alabama,Sun Belt Network,09/29/2012 15:30,T,
Arizona St. at California,F/X HD,09/29/2012 16:00,T,
North Texas at FAU,ESPN3,09/29/2012 17:00,W,
UCLA at Colorado,Pac-12 Network HD,09/29/2012 18:00,T,
Boise St. at New Mexico,KTVB,09/29/2012 18:00,T,
Florida St. at USF,ESPN HD,09/29/2012 18:00,T,
Toledo at Western Michigan,,09/29/2012 19:00,W,
TCU at SMU,FSN HD,09/29/2012 19:00,T,
UTEP at East Carolina,WITN,09/29/2012 19:00,T,
South Carolina at Kentucky,ESPN2 HD,09/29/2012 19:00,T,
Towson at LSU,ESPNU HD,09/29/2012 19:00,T,
Western Kentucky at Arkansas St.,ESPN3,09/29/2012 19:00,W,
FIU at UL-Lafayette,ESPN3,09/29/2012 19:00,W,
